EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
350630,0.34970633920143585,800,193,41,152
350631,0.4044548708347799,800,224,50,174
350632,0.8606957483556839,800,489,106,383
350633,0.8604889954079513,800,504,120,384
350635,0.1826213528522229,800,111,23,88
350637,0.8607989904744974,800,521,131,390
350638,0.860598759509326,800,464,110,354
350639,0.8609167611471233,800,580,163,417
350641,0.013596389338747347,800,4,1,3
350643,0.86118718782814,800,531,117,414
350644,0.49248244474764524,800,308,70,238
350647,0.20908868155647076,800,119,30,89
350649,0.06967983559300067,800,38,9,29
350651,0.8601731935955351,800,510,138,372
350654,0.050566388961280864,800,27,5,22
350655,0.5425565618932108,800,327,91,236
350656,0.5941030036734254,800,372,86,286
350658,0.11531202673739933,800,54,9,45
350661,0.8611212566936516,800,452,100,352
350668,0.8613663409302956,800,499,125,374
350670,0.40208151430657285,800,219,52,167
350672,0.8603598703526407,800,572,140,432
350673,0.10995227061824303,800,64,13,51
350674,0.8607314185982496,800,531,142,389
350680,0.1444142503302693,800,93,23,70
350681,0.259836630855554,800,145,25,120
350685,0.17572610792072188,800,75,15,60
350687,0.2021222224819752,800,129,37,92
350694,0.8613199957669658,800,500,127,373
350699,0.2909532775221176,800,187,45,142
350702,0.8605080668605372,800,516,124,392
350703,0.11464989768655727,800,87,21,66
350704,0.22391659878505507,800,130,38,92
350707,0.7964242782345102,800,454,86,368
350708,0.1363755236674503,800,95,24,71
350709,0.3301382006144343,800,172,36,136
350710,0.8609553922970145,800,492,125,367
350712,0.8606291382290284,800,534,127,407
350719,0.8609856272429179,800,477,118,359
350720,0.8613335009858325,800,514,132,382
350723,0.6129373199817651,800,376,101,275
350725,0.6834222705803902,800,389,85,304
350726,0.45990575218307655,800,233,48,185
350727,0.8603499419114379,800,521,115,406
350729,0.4902701507547041,800,295,77,218
350730,0.861429960137632,800,454,103,351
350732,0.8611788025628433,800,526,126,400
350733,0.1778747633291554,800,96,19,77
350738,0.161448411332299,800,129,42,87
350739,0.8611564092736288,800,477,110,367
350740,0.8606932662960629,800,545,142,403
350741,0.8607422217706551,800,551,138,413
350745,0.8608591465964077,800,494,106,388
350747,0.860001434847445,800,458,88,370
350749,0.8611555285915516,800,504,122,382
350755,0.8617316044376552,800,509,105,404
350759,0.8613813313839331,800,534,140,394
350762,0.11292299803963364,800,71,20,51
350764,0.8601843272133382,800,513,130,383
350768,0.4527831192680311,800,304,86,218
350769,0.12759371044367043,800,62,13,49
351476,0.3634931720884014,800,212,51,161
351477,0.8613130636869524,800,496,119,377
351478,0.8605896272117245,800,464,120,344
351479,0.12792528752319143,800,77,26,51
351481,0.1817918113349058,800,79,14,65
351487,0.8604479275268393,800,477,112,365
351490,0.8610014636777993,800,509,126,383
351495,0.8602385971748449,800,540,132,408
351496,0.17429811152297447,800,117,29,88
351498,0.0400005934729777,800,18,1,17
351500,0.2415383243963295,800,139,30,109
351501,0.8604062474873679,800,508,117,391
351502,0.860765416410497,800,507,127,380
351506,0.8603504465990199,800,477,113,364
351509,0.8602831467270974,800,490,99,391
351510,0.8608521728436687,800,507,135,372
351512,0.14986719416832614,800,85,27,58
351514,0.39921105261144185,800,230,48,182
351515,0.8612737847372332,800,477,104,373
351520,0.8609446463812642,800,487,116,371
351521,0.2628972554074029,800,155,34,121
351523,0.8606668424722813,800,497,116,381
351525,0.8606260127009036,800,557,139,418
