EventID,Edep_MeV,#PE,#NoisePE,SignalPE,fine_bin,merged_bin
304191,0.5390007799288474,327,83,244,539,34
249186,0.5390068170914767,307,84,223,539,34
245999,0.5390069638815268,294,69,225,539,34
213883,0.5390082549556817,348,90,258,539,34
221976,0.5390104087407406,307,81,226,539,34
237846,0.5390111566737686,336,97,239,539,34
244657,0.5390122683569515,357,90,267,539,34
233738,0.5390156115679451,340,93,247,539,34
238020,0.5390209522173321,289,70,219,539,34
220146,0.5390519658411087,334,80,254,539,34
343065,0.5390571900172352,339,98,241,539,34
321351,0.5390595871025424,309,48,261,539,34
378925,0.5390597823050168,320,87,233,539,34
216489,0.5390698580335886,340,83,257,539,34
226976,0.5390743838602586,295,65,230,539,34
237558,0.5390835748830426,356,92,264,539,34
399570,0.539085242680732,358,78,280,539,34
213732,0.5390901142098118,329,82,247,539,34
319302,0.5390911358546373,367,95,272,539,34
221133,0.5391029038355996,302,75,227,539,34
392948,0.5391131246948645,271,61,210,539,34
319348,0.5391213017452193,288,63,225,539,34
210477,0.5391234481012984,320,86,234,539,34
247923,0.5391379735295103,289,71,218,539,34
365909,0.5391726439163355,349,102,247,539,34
232674,0.539193143665918,288,78,210,539,34
307894,0.5392083084154958,309,88,221,539,34
319640,0.5392307137629451,339,78,261,539,34
309634,0.5392815195815608,336,76,260,539,34
314241,0.5392994927130191,340,82,258,539,34
349434,0.5393312572110838,329,87,242,539,34
379840,0.539342258725451,330,93,237,539,34
301919,0.5393612933042436,290,58,232,539,34
347197,0.5393844386745394,289,54,235,539,34
397860,0.5394553502602409,334,83,251,539,34
321812,0.5394943527245982,326,85,241,539,34
355532,0.5395654547070637,277,60,217,539,34
313392,0.5396002382856628,337,96,241,539,34
322935,0.5396012877446034,334,73,261,539,34
340449,0.5396134979035284,323,75,248,539,34
296433,0.5396204513236706,317,74,243,539,34
314891,0.5396709820919146,322,75,247,539,34
347507,0.539671441511499,321,67,254,539,34
324117,0.539693448527317,322,75,247,539,34
392871,0.5396973513954606,398,122,276,539,34
313338,0.5397553513710338,299,80,219,539,34
382709,0.5397676475665258,295,69,226,539,34
330613,0.539781816918058,335,69,266,539,34
326281,0.5397879810797526,342,89,253,539,34
355877,0.5397990892736911,334,96,238,539,34
394827,0.5398974206059145,318,80,238,539,34
354681,0.5399618037214514,284,61,223,539,34
330493,0.5399902885945638,300,68,232,539,34
334878,0.5399905409983362,310,62,248,539,34
325976,0.5400041057869751,296,62,234,540,34
