EventID,Edep_MeV,Energy_keV,#PE,#NoisePE,SignalPE
50420,0.21535782118272462,200,118,25,93
50421,0.215313171756525,200,128,41,87
50422,0.2153816339691251,200,137,31,106
50423,0.14922778074363105,200,84,17,67
50424,0.214814059042542,200,120,21,99
50425,0.2152044298981127,200,110,19,91
50426,0.2149530056583286,200,134,36,98
50427,0.21495889368228976,200,138,27,111
50428,0.16265101633221205,200,77,15,62
50429,0.2154057171970696,200,144,35,109
50430,0.2154684572063004,200,131,26,105
50431,0.21510641125501298,200,109,29,80
50432,0.21500875108524534,200,146,36,110
50433,0.21508586666817198,200,124,29,95
50434,0.21521671078920582,200,152,43,109
50435,0.2155942513291468,200,135,35,100
50436,0.21537611102387585,200,105,35,70
50437,0.21552410020723498,200,111,28,83
50438,0.21494507583571382,200,134,27,107
50439,0.2152749412028576,200,125,28,97
50440,0.21526562434693372,200,135,31,104
50441,0.21491748094781957,200,119,25,94
50442,0.21537462431980442,200,126,30,96
50443,0.2151352311831215,200,111,31,80
50444,0.21505991035992936,200,101,22,79
50445,0.21529386775799464,200,105,22,83
50446,0.21506212482781725,200,114,26,88
50447,0.21522645843542554,200,99,19,80
50448,0.21542926764747297,200,116,33,83
50449,0.21528474395064157,200,119,26,93
50450,0.21510092629960562,200,101,21,80
50451,0.21500141356287114,200,134,38,96
50452,0.21531916304518361,200,166,39,127
50453,0.21483083372670786,200,135,29,106
50454,0.21495151208093194,200,130,22,108
50455,0.21509250050022774,200,125,32,93
50456,0.21530045341170567,200,104,20,84
50457,0.21517625166758841,200,162,40,122
50458,0.21504502189616967,200,142,38,104
50459,0.21529104018828504,200,114,21,93
50460,0.21536940502464788,200,135,39,96
50461,0.15679428093530398,200,79,14,65
50462,0.21468810133833757,200,131,43,88
50463,0.21523012404865022,200,163,47,116
50464,0.21515076206843275,200,100,20,80
50465,0.21536467120975353,200,136,35,101
50466,0.21506057609602677,200,123,27,96
50467,0.2152281478682125,200,122,22,100
50468,0.2151619537156284,200,164,42,122
50469,0.21513545286846816,200,109,19,90
50470,0.21523588561750726,200,112,21,91
50471,0.2151366767919996,200,131,36,95
50472,0.21500969241261556,200,119,29,90
50473,0.21507574809688842,200,127,33,94
50474,0.2153315145466708,200,103,17,86
50475,0.15825541542231109,200,83,18,65
50476,0.2154880641617016,200,129,37,92
50477,0.2154971764267698,200,120,36,84
50478,0.21500229624325637,200,148,45,103
