x, y
381.13513, 516.68189
377.77826, 651.54176
374.4214, 759.42966
371.06454, 867.31755
367.70767, 1002.17743
364.35081, 1110.06532
360.99395, 1217.95322
357.63708, 1271.89717
354.28022, 1352.81309
350.92336, 1406.75704
347.56649, 1406.75704
344.20963, 1298.86914
340.85277, 1164.00927
337.4959, 1002.17743
334.13904, 921.2615
331.34165, 759.42966
327.98479, 597.59781
325.74688, 435.76596
322.39002, 300.90609
319.03315, 219.99017
315.67629, 166.04622
312.31943, 139.07424
350.92336, 1325.84112
319.03315, 139.07424
383.37304, 516.68189
386.7299, 462.73794
390.08676, 408.79399
393.44363, 381.82201
396.80049, 354.85004
400.15735, 327.87806
390.08676, 354.85004
403.51422, 300.90609
406.87108, 273.93412
403.51422, 219.99017
410.22794, 246.96214
413.58481, 219.99017
410.22794, 193.01819
416.94167, 219.99017
420.29853, 219.99017
423.6554, 193.01819
427.01226, 193.01819
430.36912, 166.04622
433.72599, 166.04622
437.08285, 139.07424
440.43971, 139.07424
416.94167, 166.04622
420.29853, 139.07424
423.6554, 139.07424
427.01226, 139.07424
640.17309, 139.07424
643.52995, 139.07424
646.88682, 166.04622
444.35605, 139.07424
447.71292, 139.07424
451.06978, 139.07424
454.42665, 112.10227
457.78351, 112.10227
461.14037, 139.07424
464.49724, 112.10227
472.88939, 112.10227
469.53253, 112.10227
611.63975, 139.07424
626.74563, 139.07424
630.1025, 139.07424
639.05413, 139.07424
635.69727, 112.10227
305.6057, 112.10227
430.36912, 112.10227
433.72599, 112.10227
466.73514, 112.10227
474.56783, 112.10227
477.92469, 112.10227
481.84103, 112.10227
484.63842, 112.10227
487.99528, 112.10227
491.35214, 112.10227
495.26848, 112.10227
498.62535, 112.10227
501.98221, 85.13029
507.57698, 85.13029
512.0528, 85.13029
524.92078, 85.13029
521.56391, 85.13029
518.20705, 85.13029
514.85019, 112.10227
536.11032, 85.13029
526.59921, 85.13029
529.95607, 85.13029
